ngram,count
добросовестность чистоплотность пунктуальность,1
чистоплотность пунктуальность осуществляет,1
пунктуальность осуществляет уборку,1
осуществляет уборку служебных,1
уборку служебных помещений,1
служебных помещений коридоров,1
помещений коридоров залов,1
коридоров залов цокольный,1
залов цокольный этаж,1
цокольный этаж лестниц,1
этаж лестниц санузлов,1
лестниц санузлов прилегающей,1
санузлов прилегающей территории,1
прилегающей территории удаляет,1
территории удаляет пыль,1
удаляет пыль подметает,1
пыль подметает моет,2
подметает моет вручную,2
рассмотрю кандидатку лет,1
кандидатку лет должность,1
лет должность администратор,1
должность администратор горничная,1
администратор горничная лет,1
горничная лет аналогичной,1
лет аналогичной должности,1
аналогичной должности встреча,1
должности встреча регистрация,1
встреча регистрация гостей,1
регистрация гостей обеспечение,1
гостей обеспечение комфортного,1
обеспечение комфортного проживания,1
комфортного проживания обработка,1
проживания обработка бронирований,1
обработка бронирований ведение,1
бронирований ведение документации,1
ведение документации контроль,1
документации контроль чистотой,1
контроль чистотой порядком,1
чистотой порядком отеле,1
аналогичный наличие рекомендаций,1
наличие рекомендаций наличие,1
рекомендаций наличие прав,1
наличие прав категории,1
прав категории вождения,1
категории вождения автомобилей,1
вождения автомобилей премиум,1
автомобилей премиум сегмента,1
премиум сегмента умение,1
сегмента умение пользоваться,1
умение пользоваться компьютером,1
пользоваться компьютером уверенный,1
компьютером уверенный пользователь,1
уверенный пользователь интернет,1
пользователь интернет ежедневные,1
интернет ежедневные поездки,1
ежедневные поездки личным,1
поездки личным поручениям,1
личным поручениям сопровождение,1
поручениям сопровождение членов,1
сопровождение членов семьи,1
членов семьи покупки,1
семьи покупки доставка,1
покупки доставка сотрудников,1
доставка сотрудников горничная,1
сотрудников горничная встречи,1
горничная встречи проводы,1
встречи проводы аэропортах,1
аккуратность пунктуальность исполнительность,1
пунктуальность исполнительность уборка,1
исполнительность уборка поддержание,1
уборка поддержание чистоты,3
поддержание чистоты офисе,1
офисной техники сканер,1
техники сканер принтер,1
сканер принтер программ,1
принтер программ microsoft,1
программ microsoft office,2
microsoft office word,2
office word excel,2
word excel пунктуальность,1
excel пунктуальность отзывчивость,1
пунктуальность отзывчивость оптимизм,1
отзывчивость оптимизм доверие,1
оптимизм доверие стрессоустойчивость,1
доверие стрессоустойчивость делового,1
стрессоустойчивость делового этикета,1
делового этикета организовывать,1
этикета организовывать работу,1
организовывать работу курьеров,1
работу курьеров контролировать,1
курьеров контролировать чистоту,1
контролировать чистоту офисе,1
чистоту офисе следить,1
офисе следить качеством,1
следить качеством уборщиц,1
качеством уборщиц обеспечивать,1
уборщиц обеспечивать сотрудников,1
обеспечивать сотрудников корпоративной,1
сотрудников корпоративной сотовой,1
корпоративной сотовой связью,1
сотовой связью оформлять,1
связью оформлять командировки,1
оформлять командировки подбирать,1
свидетельство профессии санитарка,1
профессии санитарка осуществляет,1
санитарка осуществляет уборку,1
осуществляет уборку закрепленных,1
уборку закрепленных ней,1
закрепленных ней помещений,1
ней помещений коридоров,1
помещений коридоров лестниц,1
коридоров лестниц также,1
лестниц также поддержание,1
также поддержание закрепленной,1
поддержание закрепленной территории,1
закрепленной территории чистоте,1
территории чистоте течение,1
чистоте течение рабочего,1
течение рабочего дня,3
аккуратность пунктуальность уборке,1
пунктуальность уборке плюсом,1
уборке плюсом чистоплотность,1
плюсом чистоплотность добросовестное,1
чистоплотность добросовестное отношение,1
добросовестное отношение работе,5
отношение работе ежедневная,1
работе ежедневная уборка,1
ежедневная уборка офисных,2
уборка офисных помещений,8
офисных помещений кабинеты,1
помещений кабинеты коридоры,2
кабинеты коридоры переговорные,1
коридоры переговорные кухня,1
переговорные кухня санузлы,1
кухня санузлы поддержание,1
санузлы поддержание чистоты,1
поддержание чистоты порядка,3
чистоты порядка течение,1
порядка течение рабочего,1
рабочего дня сухая,1
дня сухая влажная,1
ключевые навыки руководителя,1
навыки руководителя ахо,1
руководителя ахо мультизадачность,1
ахо мультизадачность стрессоустойчивость,1
мультизадачность стрессоустойчивость обычный,1
стрессоустойчивость обычный день,1
обычный день проблем,1
день проблем одновременно,1
проблем одновременно сломанного,1
одновременно сломанного принтера,1
сломанного принтера потопа,1
принтера потопа чай,1
потопа чай кофе,1
чай кофе печенки,1
кофе печенки фрукты,1
печенки фрукты подбор,1
фрукты подбор обучение,1
подбор обучение уборщицы,1
обучение уборщицы курьеры,1
уборщицы курьеры секретари,1
курьеры секретари мотивация,1
секретари мотивация аттестация,1
мотивация аттестация проведение,1
аттестация проведение оценки,1
проведение оценки подчиненных,1
коммуникабельность внимательность контроль,1
внимательность контроль хозяйством,1
контроль хозяйством соблюдние,1
хозяйством соблюдние порядка,1
соблюдние порядка чистоты,1
порядка чистоты территории,1
чистоты территории дома,1
аналогичной года физическая,1
года физическая выносливость,1
физическая выносливость пунктуальность,1
выносливость пунктуальность умение,1
пунктуальность умение работать,1
умение работать самостоятельно,3
работать самостоятельно уборка,1
самостоятельно уборка офисного,1
уборка офисного помещения,3
офисного помещения уборка,1
помещения уборка приемной,1
уборка приемной кабинеты,1
приемной кабинеты коридор,1
кабинеты коридор кухня,1
коридор кухня туалеты,1
кухня туалеты м2,1
туалеты м2 мытьё,1
м2 мытьё полов,1
мытьё полов окон,1
полов окон мебели,1
окон мебели вынос,1
мебели вынос мусора,1
коммуникабельны ориентированы результат,1
ориентированы результат умеете,1
результат умеете работать,1
умеете работать условиях,1
работать условиях многозадачности,2
условиях многозадачности быстро,1
многозадачности быстро ориентироваться,1
быстро ориентироваться ситуации,1
ориентироваться ситуации активность,1
ситуации активность стрессоустойчивость,1
активность стрессоустойчивость вежливость,1
стрессоустойчивость вежливость грамотность,1
вежливость грамотность желание,1
грамотность желание поддержание,1
желание поддержание объектов,1
поддержание объектов аренды,1
объектов аренды собственных,1
аренды собственных помещений,1
собственных помещений чистом,1
помещений чистом состоянии,1
чистом состоянии контроль,1
состоянии контроль работой,1
контроль работой уборщицы,1
работой уборщицы работа,1
уборщицы работа корпоративным,1
работа корпоративным сайтом,1
корпоративным сайтом внесение,1
сайтом внесение удаление,1
внесение удаление сотрудников,1
аккуратность исполнительность внимательность,1
исполнительность внимательность деталям,1
внимательность деталям ежедневная,1
деталям ежедневная сухая,1
ежедневная сухая влажная,3
сухая влажная уборка,4
влажная уборка помещений,2
уборка помещений протирка,1
помещений протирка мебели,1
протирка мебели дверей,1
мебели дверей подоконников,1
дверей подоконников поддержание,1
подоконников поддержание чистоты,1
поддержание чистоты санузлах,1
чистоты санузлах мытьё,1
санузлах мытьё пополнение,1
мытьё пополнение расходных,1
пополнение расходных материалов,1
аккуратость чистоплотность от5,1
чистоплотность от5 лет,1
от5 лет качестве,1
лет качестве горничной,1
качестве горничной больших,1
горничной больших площадях,1
больших площадях влажная,1
площадях влажная сухая,1
влажная сухая уборка,3
сухая уборка м2,1
уборка м2 горничная,1
м2 горничная убирает,1
горничная убирает этаж,1
убирает этаж смене,1
этаж смене работают,1
смене работают горничных,1
работают горничных одновременно,1
горничных одновременно каждая,1
одновременно каждая своем,1
отношение работе аккуратность,4
работе аккуратность исполнительность,4
аккуратность исполнительность неконфликтность,1
исполнительность неконфликтность опрятный,1
неконфликтность опрятный внешний,1
опрятный внешний вид,5
внешний вид клининге,2
вид клининге года,1
клининге года ежедневная,1
года ежедневная сухая,1
влажная уборка офисных,3
офисных помещений кабинет,1
помещений кабинет руководителя,1
кабинет руководителя сотрудников,1
руководителя сотрудников коридоров,1
сотрудников коридоров мини-кухни,1
коридоров мини-кухни уборка,1
мини-кухни уборка пыли,1
уборка пыли поддержание,1
пыли поддержание чистоты,1
поддержание чистоты офисной,1
пользоваться уборочным инвентарем,1
уборочным инвентарем средствами,1
инвентарем средствами механизированной,1
средствами механизированной уборки,1
механизированной уборки помещений,1
уборки помещений посудомоечными,1
помещений посудомоечными машинами,1
посудомоечными машинами стабильность,1
машинами стабильность доброжелательность,1
стабильность доброжелательность исполнительность,1
доброжелательность исполнительность порядочность,1
исполнительность порядочность аккуратность,1
порядочность аккуратность тактичность,1
аккуратность тактичность документально,1
тактичность документально подтвержденный,1
документально подтвержденный уборщицей,1
подтвержденный уборщицей уборка,1
уборщицей уборка офисных,1
офисных помещений сухая,2
помещений сухая влажная,2
сухая влажная вручную,1
влажная вручную или,1
вручную или помощью,2
или помощью уборочного,1
помощью уборочного инвентаря,1
уборочного инвентаря техники,1
инвентаря техники контроль,1
техники контроль наличия,1
контроль наличия расходных,3
наличия расходных материалов,3
расходных материалов бытовой,1
материалов бытовой химии,1
года личным помощником,1
личным помощником бизнес,1
помощником бизнес ассистентом,1
бизнес ассистентом возможность,1
ассистентом возможность связи,1
возможность связи могут,1
связи могут редкие,1
могут редкие запросы,1
редкие запросы вне,1
запросы вне рабочего,1
вне рабочего времени,1
рабочего времени ведение,1
времени ведение календаря,1
ведение календаря дней,1
календаря дней рождения,1
дней рождения партнеров,1
рождения партнеров курирование,1
партнеров курирование уборщицы,1
курирование уборщицы поиск,1
уборщицы поиск анализ,1
поиск анализ информации,1
анализ информации презентация,1
информации презентация выводов,1
презентация выводов работа,1
выводов работа сувенирной,1
работа сувенирной продукцией,1
сувенирной продукцией идеи,1
продукцией идеи поиск,1
уборке офисов аккуратность,1
офисов аккуратность чистоплотность,1
аккуратность чистоплотность чистящих,1
чистоплотность чистящих моющих,1
чистящих моющих средств,1
моющих средств сухая,1
средств сухая влажная,1
влажная уборка пола,1
уборка пола уборка,1
пола уборка санузлов,1
уборка санузлов вынос,1
санузлов вынос мусора,1
вынос мусора уборка,2
мусора уборка горизонтальных,1
уборка горизонтальных поверхностей,1
если каких-то знаний,1
каких-то знаний или,1
знаний или опыта,1
или опыта хватает,1
опыта хватает но,1
хватает но характер,1
но характер желание,1
характер желание учиться,1
желание учиться мы,1
учиться мы поможем,1
мы поможем нас,1
поможем нас принято,1
нас принято контроль,1
принято контроль уборки,1
контроль уборки домиков,1
уборки домиков чек-листам,1
домиков чек-листам помощь,1
чек-листам помощь горничным,1
помощь горничным крайней,1
горничным крайней необходимости,1
крайней необходимости наших,1
необходимости наших домах,1
наших домах мы,1
домах мы уделяем,1
мы уделяем особое,1
уделяем особое внимание,1
особое внимание идеальной,1
внимание идеальной чистоте,1
пк офисных программ,1
офисных программ умение,1
программ умение работать,1
умение работать оргтехникой,1
работать оргтехникой внимательность,1
оргтехникой внимательность тактичность,1
внимательность тактичность вежливость,1
тактичность вежливость эмоциональная,1
вежливость эмоциональная устойчивость,1
эмоциональная устойчивость информирует,1
устойчивость информирует клиентов,1
информирует клиентов возможности,1
клиентов возможности приобретения,1
возможности приобретения ими,1
приобретения ими дополнительных,1
ими дополнительных услуг,1
дополнительных услуг координирует,1
услуг координирует рабочие,1
координирует рабочие процессы,1
рабочие процессы горничных,1
процессы горничных пределах,1
горничных пределах своей,1
пределах своей компетенции,1
своей компетенции принимает,1
компетенции принимает составляет,1
принимает составляет соответствующие,1
управления отелем гостиничным,1
отелем гостиничным комплексом,1
гостиничным комплексом лет,1
комплексом лет практику,1
лет практику shelter,1
практику shelter travelline,1
shelter travelline ota,1
travelline ota прямыми,1
ota прямыми каналами,1
прямыми каналами сильные,1
каналами сильные управленческие,1
сильные управленческие навыки,1
управленческие навыки рост,1
навыки рост выручки,1
рост выручки загрузки,1
выручки загрузки adr,1
загрузки adr revpar,1
adr revpar регулярная,1
revpar регулярная аналитика,1
регулярная аналитика отчётность,1
аналитика отчётность хозяйственная,1
отчётность хозяйственная служба,1
хозяйственная служба горничные,1
служба горничные техническая,1
горничные техническая поддержка,1
техническая поддержка номеров,1
поддержка номеров чек-листы,1
номеров чек-листы ппр,1
администратором обязательно инициативность,1
обязательно инициативность исполнительность,1
инициативность исполнительность -коммуникабельность,1
исполнительность -коммуникабельность решение,1
-коммуникабельность решение текущих,1
решение текущих вопросов,1
текущих вопросов гостей,1
вопросов гостей обеспечение,1
гостей обеспечение комфорта,1
обеспечение комфорта отеле,1
комфорта отеле ночные,1
отеле ночные смены,1
ночные смены горничный,1
смены горничный работает,1
горничный работает поэтому,1
работает поэтому администратор,1
поэтому администратор самостоятельно,1
администратор самостоятельно обеспечивает,1
управляющим объектом завхозом,1
объектом завхозом администратором,1
завхозом администратором специалистом,1
администратором специалистом ахо,1
специалистом ахо или,1
ахо или прорабом,1
или прорабом лет,1
прорабом лет понимание,1
лет понимание строительных,1
понимание строительных процессов,1
строительных процессов технологий,1
процессов технологий ремонта,1
технологий ремонта эксплуатации,1
ремонта эксплуатации организация,1
эксплуатации организация контроль,1
организация контроль хозяйственного,1
контроль хозяйственного персонала,1
хозяйственного персонала уборщик,1
персонала уборщик дворник,1
уборщик дворник электрик,1
дворник электрик разнорабочие,1
электрик разнорабочие около,1
разнорабочие около человек,1
около человек подчинении,1
человек подчинении взаимодействие,1
подчинении взаимодействие арендодателями,1
взаимодействие арендодателями контролирующими,1
арендодателями контролирующими органами,1
многозадачность стрессоустойчивость неконфликтность,1
стрессоустойчивость неконфликтность аккуратность,1
неконфликтность аккуратность внимательность,1
аккуратность внимательность работе,1
внимательность работе заявками,1
работе заявками английский,1
заявками английский язык,1
английский язык другие,1
язык другие иностранные,1
другие иностранные языки,1
иностранные языки тоже,1
языки тоже будут,1
тоже будут плюсом,1
будут плюсом доброжелательность,1
плюсом доброжелательность формирование,1
доброжелательность формирование расписания,1
формирование расписания трансферов,1
расписания трансферов формирование,1
трансферов формирование списков,1
формирование списков уборки,1
списков уборки номеров,1
уборки номеров горничных,1
номеров горничных работа,1
горничных работа кассой,1
работа кассой приём,1
кассой приём звонков,1
приём звонков работа,1
звонков работа обращениями,1
работа обращениями гостей,1
внешний вид добросовестное,1
вид добросовестное отношение,1
аккуратность исполнительность клининге,1
исполнительность клининге приветствуется,1
клининге приветствуется но,1
приветствуется но обязателен,2
но обязателен ежедневная,1
обязателен ежедневная уборка,1
офисных помещений кухни,1
помещений кухни санузлов,1
кухни санузлов влажная,1
санузлов влажная уборка,1
влажная уборка полов,1
уборка полов поверхностей,1
полов поверхностей кухни,1
поверхностей кухни туалета,1
кухни туалета сбор,1
туалета сбор вынос,1
сбор вынос мусора,1
вынос мусора уход,1
мусора уход офисными,1
уход офисными растениями,1
аккуратность готовность физической,1
готовность физической работе,1
физической работе свежем,1
работе свежем воздухе,1
свежем воздухе исполнительность,1
воздухе исполнительность пунктуальность,1
исполнительность пунктуальность желание,1
пунктуальность желание работать,1
желание работать поддерживать,1
работать поддерживать чистоту,1
поддерживать чистоту ежедневная,1
чистоту ежедневная уборка,1
ежедневная уборка дворовой,1
уборка дворовой прилегающей,1
дворовой прилегающей территории,1
прилегающей территории сезонная,1
территории сезонная уборка,1
сезонная уборка снега,1
уборка снега листвы,1
снега листвы мусора,1
листвы мусора контроль,1
мусора контроль состоянием,1
контроль состоянием урн,1
состоянием урн своевременное,1
урн своевременное опустошение,1
аналогичной должности года,1
должности года основ,1
года основ клининга,1
основ клининга моющих,1
клининга моющих средств,1
моющих средств технологии,1
средств технологии применения,1
технологии применения организованность,1
применения организованность дисциплинированность,1
организованность дисциплинированность чистоплотность,1
дисциплинированность чистоплотность бесконфликтность,1
чистоплотность бесконфликтность однократная,1
бесконфликтность однократная влажная,1
однократная влажная уборка,1
офисных помещений кв,1
помещений кв удаление,1
кв удаление пыли,1
удаление пыли грязи,1
пыли грязи стен,1
грязи стен полов,1
стен полов оконных,1
полов оконных рам,1
оконных рам стекол,1
рам стекол дверных,1
стекол дверных блоков,1
дверных блоков ковролина,1
релевантный данной позиции,1
данной позиции года,1
позиции года организаторский,1
года организаторский талант,1
организаторский талант сообразительность,1
талант сообразительность эффективность,1
сообразительность эффективность положительный,1
эффективность положительный настрой,1
положительный настрой высокая,1
настрой высокая степень,1
высокая степень ответственности,1
степень ответственности инициативность,1
ответственности инициативность печенья,1
инициативность печенья конфет,1
печенья конфет фруктов,1
конфет фруктов поддержание,1
фруктов поддержание общего,1
поддержание общего порядка,1
общего порядка офисе,1
порядка офисе контроль,1
офисе контроль уборщиц,1
контроль уборщиц бц,1
уборщиц бц ведением,1
бц ведением документооборота,1
ведением документооборота компании,1
документооборота компании приказы,1
компании приказы реестр,1
приказы реестр договоров,1
реестр договоров выставление,1
договоров выставление счетов,1
готовность доступным онлайн,1
доступным онлайн рабочие,1
онлайн рабочие часы,1
рабочие часы принимать,1
часы принимать заявки,1
принимать заявки удаленно,1
заявки удаленно сопровождать,1
удаленно сопровождать заселения,1
сопровождать заселения отвечать,1
заселения отвечать сообщения,1
отвечать сообщения течение,1
сообщения течение минут,1
течение минут вести,1
минут вести учет,1
вести учет бронирований,1
учет бронирований проблем,1
бронирований проблем пожеланий,1
проблем пожеланий гостей,1
пожеланий гостей контролировать,1
гостей контролировать состояние,1
контролировать состояние апартаментов,1
состояние апартаментов работу,1
апартаментов работу горничной,1
работу горничной тех,1
горничной тех персонала,1
тех персонала объектах,1
персонала объектах удаленно,1
объектах удаленно так,1
ориентир полевая недалеко,1
полевая недалеко аэропорта,1
недалеко аэропорта бывшая,1
аэропорта бывшая венгерка,1
бывшая венгерка готовка,1
венгерка готовка обеда,1
готовка обеда сотрудников,1
обеда сотрудников человек,1
сотрудников человек обычная,1
человек обычная домашняя,1
обычная домашняя еда,1
домашняя еда уборка,1
еда уборка офиса,1
высокая коммуникабельность умение,1
коммуникабельность умение легко,1
умение легко ненавязчиво,1
легко ненавязчиво общаться,1
ненавязчиво общаться отзывчивой,1
общаться отзывчивой искренней,1
отзывчивой искренней открытой,1
искренней открытой желание,1
открытой желание расти,1
желание расти hr-направлении,1
расти hr-направлении вы,1
hr-направлении вы будете,1
вы будете подчиняться,1
будете подчиняться face,1
подчиняться face id,1
face id регистрацию,1
id регистрацию сотрудников,1
регистрацию сотрудников сопутствующие,1
сотрудников сопутствующие процессы,1
сопутствующие процессы контроль,1
процессы контроль уборщицы,1
контроль уборщицы чек-листу,1
уборщицы чек-листу выполнение,1
чек-листу выполнение дополнительных,1
выполнение дополнительных задач,1
дополнительных задач hr,1
вынос мусора влажная,1
мусора влажная уборка,1
влажная уборка мытье,1
уборка мытье полов,1
мытье полов генеральная,1
полов генеральная уборка,1
генеральная уборка качественная,1
уборка качественная уборка,1
медицинская книжка пунктуальность,1
книжка пунктуальность вежливость,1
пунктуальность вежливость умение,1
вежливость умение работать,1
умение работать команде,4
работать команде добросовестное,1
команде добросовестное отношение,1
добросовестное отношение рабочим,1
отношение рабочим обязанностям,1
рабочим обязанностям опрятный,1
обязанностям опрятный внешний,1
внешний вид комплексная,1
вид комплексная уборка,1
комплексная уборка помещения,1
уборка помещения мойка,1
помещения мойка пола,1
мойка пола протирание,1
пола протирание пыли,1
протирание пыли вынос,1
пыли вынос мусора,1
иметь людьми идеально,1
людьми идеально если,1
идеально если администратором,1
если администратором банном,1
администратором банном комплексе,1
банном комплексе внимательным,1
комплексе внимательным особенно,1
внимательным особенно работе,1
особенно работе кассой,1
работе кассой выполнение,1
кассой выполнение плана,1
выполнение плана продаж,1
плана продаж приём,1
продаж приём входящих,1
приём входящих звонков,1
входящих звонков электронной,1
звонков электронной почты,1
электронной почты координация,1
почты координация внутренних,1
координация внутренних подразделений,1
внутренних подразделений горничные,1
подразделений горничные пармастера,1
горничные пармастера инженерно-техническая,1
пармастера инженерно-техническая служба,1
инженерно-техническая служба работа,1
служба работа амосрм,1
задачи утpoм подгoтовкa,1
утpoм подгoтовкa магазинa,1
подгoтовкa магазинa oткрытию,1
магазинa oткрытию влажнaя,1
oткрытию влажнaя убоpкa,1
влажнaя убоpкa пoлa,1
убоpкa пoлa тeчениe,1
пoлa тeчениe дня,1
тeчениe дня поддерживaющaя,1
дня поддерживaющaя уборка,1
поддерживaющaя уборка пpотирка,1
уборка пpотирка полочeк,1
пpотирка полочeк cтeллaжей,1
взрослый умный состоявшийся,1
умный состоявшийся человек,1
состоявшийся человек высоким,1
человек высоким уровнем,1
высоким уровнем жизни,1
уровнем жизни вкусом,1
жизни вкусом среда,1
вкусом среда мира,1
среда мира внимание,1
мира внимание деталям,1
внимание деталям осознанность,1
деталям осознанность уровень,1
осознанность уровень системность,1
уровень системность организация,1
системность организация личных,1
организация личных дел,1
личных дел повседневных,1
дел повседневных процессов,1
повседневных процессов регулярная,1
процессов регулярная доставка,1
регулярная доставка цветов,1
доставка цветов семьи,1
цветов семьи подарки,1
семьи подарки взаимодействие,1
подарки взаимодействие персоналом,1
взаимодействие персоналом повар,1
персоналом повар горничная,1
повар горничная водитель,1
внимательность деталям организованность,1
деталям организованность мебели,1
организованность мебели дизайне,1
мебели дизайне строительстве,1
дизайне строительстве или,1
строительстве или смежной,1
или смежной сфере,1
смежной сфере навыки,1
сфере навыки планирования,1
навыки планирования контроля,1
планирования контроля взаимодействие,1
контроля взаимодействие дизайнерской,1
взаимодействие дизайнерской производственной,1
дизайнерской производственной командами,1
производственной командами своевременного,1
командами своевременного выполнения,1
своевременного выполнения заказов,1
выполнения заказов следить,1
заказов следить чистотой,1
следить чистотой порядком,1
чистотой порядком своевременно,1
порядком своевременно давать,1
своевременно давать задачи,1
давать задачи уборщице,1
аккуратность исполнительность конфликтность,2
исполнительность конфликтность опрятный,2
конфликтность опрятный внешний,2
вид клининге менее,1
клининге менее года,1
менее года сбор,1
года сбор мусора,1
сбор мусора выгрузка,1
мусора выгрузка контейнеры,1
выгрузка контейнеры пылесос,1
контейнеры пылесос ковролина,1
пылесос ковролина пол,1
ковролина пол зона,1
пол зона ресепшен,1
зона ресепшен уборка,1
ресепшен уборка туалетов,1
семьях наличие рекомендации,1
наличие рекомендации внимательность,1
рекомендации внимательность деталям,1
внимательность деталям аккуратность,1
деталям аккуратность умение,1
аккуратность умение работать,1
работать команде дисциплинированность,1
команде дисциплинированность проведение,1
дисциплинированность проведение сезонных,1
проведение сезонных генеральных,1
сезонных генеральных уборок,1
генеральных уборок уход,1
уборок уход различными,1
уход различными дорогими,1
различными дорогими поверхностями,1
дорогими поверхностями отделочными,1
поверхностями отделочными материалами,1
отделочными материалами уборка,1
материалами уборка различных,1
уборка различных покрытий,1
различных покрытий удаление,1
покрытий удаление пятен,1
удаление пятен загрязнений,1
основ продуктового менеджмента,1
продуктового менеджмента зачем,1
менеджмента зачем проводятся,1
зачем проводятся custdev,1
проводятся custdev jtbd-исследования,1
custdev jtbd-исследования зачем,1
jtbd-исследования зачем нужны,1
зачем нужны ключевые,1
нужны ключевые метрики,1
ключевые метрики считать,1
метрики считать вместе,1
считать вместе более,1
вместе более опытными,1
более опытными коллегами,1
опытными коллегами вы,1
коллегами вы будете,1
вы будете участвовать,1
будете участвовать всех,1
участвовать всех этапах,1
всех этапах разработки,1
этапах разработки запуска,1
разработки запуска новых,1
запуска новых функций,1
новых функций наших,1
функций наших продуктах,1
сфере уборки года,1
уборки года аккуратность,1
года аккуратность внимательность,2
аккуратность внимательность деталям,2
внимательность деталям умение,2
деталям умение работать,2
работать самостоятельно соблюдать,1
самостоятельно соблюдать график,1
соблюдать график ежедневная,1
график ежедневная влажная,1
ежедневная влажная сухая,2
сухая уборка общих,1
уборка общих зон,2
общих зон душевые,1
зон душевые туалеты,1
душевые туалеты кухни,1
туалеты кухни коридоры,1
кухни коридоры лестницы,1
коридоры лестницы поддержание,1
лестницы поддержание чистоты,1
чистоты порядка хостеле,1
четко грамотно вежливо,1
грамотно вежливо говорите,1
вежливо говорите русском,1
говорите русском языке,1
русском языке уверенный,1
языке уверенный пользователь,1
уверенный пользователь компьютера,1
пользователь компьютера программ,1
компьютера программ word,1
программ word excel,1
word excel аналогичной,1
excel аналогичной должности,1
аналогичной должности номеров,1
должности номеров программе,1
номеров программе выставление,1
программе выставление счетов,1
выставление счетов работа,1
счетов работа документацией,1
работа документацией ведение,1
документацией ведение деловой,1
ведение деловой переписки,1
деловой переписки составление,1
переписки составление отчетов,1
составление отчетов руководителя,1
отчетов руководителя координация,1
руководителя координация отеля,1
координация отеля горничных,1
должен знать правила,1
знать правила использования,1
правила использования средствами,1
использования средствами противопожарной,1
средствами противопожарной защиты,1
противопожарной защиты осуществлять,1
защиты осуществлять руководство,1
осуществлять руководство уборщиков,1
руководство уборщиков прилегающей,1
уборщиков прилегающей территории,1
прилегающей территории электриков,1
территории электриков сантехников,1
электриков сантехников техников,1
сантехников техников хозяйственной,1
техников хозяйственной эксплуатации,1
хозяйственной эксплуатации целью,1
эксплуатации целью достижения,1
целью достижения высокого,1
достижения высокого уровня,1
высокого уровня качества,1
уровня качества оказываемых,1
качества оказываемых услуг,1
обязательно английского языка,1
английского языка уровень,1
языка уровень в1,1
уровень в1 стрессоустойчивость,1
в1 стрессоустойчивость коммуникативность,1
стрессоустойчивость коммуникативность умение,1
коммуникативность умение работать,1
умение работать условиях,1
условиях многозадачности готовность,1
многозадачности готовность интенсивной,1
готовность интенсивной интересной,1
интенсивной интересной работе,1
интересной работе решение,1
работе решение возникающих,1
решение возникающих конфликтных,1
возникающих конфликтных ситуаций,1
конфликтных ситуаций координация,1
ситуаций координация других,1
координация других отделов,1
других отделов например,1
отделов например горничных,1
например горничных или,1
горничных или ремонтных,1
или ремонтных служб,1
ремонтных служб если,1
служб если возникают,1
если возникают проблемы,1
возникают проблемы подготовка,1
проблемы подготовка отчётности,1
подготовка отчётности ведение,1
релевантный позиции администратора,1
позиции администратора хостеса,1
администратора хостеса или,1
хостеса или продажах,1
или продажах аккаунтинге,1
продажах аккаунтинге грамотная,1
аккаунтинге грамотная устная,1
грамотная устная письменная,3
устная письменная речь,3
письменная речь коммуникабельность,1
речь коммуникабельность клиентоориентированность,1
коммуникабельность клиентоориентированность содержание,1
клиентоориентированность содержание студии,1
содержание студии порядке,1
студии порядке нужно,1
порядке нужно следить,1
нужно следить чистотой,1
следить чистотой координировать,1
чистотой координировать приход,1
координировать приход клинера,1
приход клинера самостоятельно,1
клинера самостоятельно всей,1
самостоятельно всей командой,1
всей командой поддерживать,1
командой поддерживать санитарное,1
поддерживать санитарное состояние,1
уборка производственных служебных,1
производственных служебных помещений,1
служебных помещений мытье,2
помещений мытье стен,1
мытье стен окон,1
стен окон графику,1
презентабельный внешний вид,1
